case_id,评测对象,场景分类,测试输入,难度,样本类型,预期表现,硬性约束,重点观察项,数据来源（AI合成）
S01,候选模型供应商（实测填入）,矛盾情绪,"状态：[""困"",""想出门"",""不想社交""]；经历：人工构造的日常样例。",中等,常规生成,"8 轮内成功渲染 1080×1440 PNG；标题≤24字、副标题≤70字、恰好3个标签各≤12字；文案同时呼应三个矛盾状态且轻松有辨识度","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",矛盾状态的平衡处理是否自然不说教,人工构造（样例清单#1）
S02,候选模型供应商（实测填入）,平静满足,"状态：[""平静"",""想独处"",""满足""]；经历：人工构造的日常样例。",简单,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；文案贴合安静独处的氛围","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",平淡状态是否仍有创意不落套话,人工构造（样例清单#2）
S03,候选模型供应商（实测填入）,高能量,"状态：[""兴奋"",""想创作"",""有点饿""]；经历：人工构造的日常样例。",简单,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；文案传递高能量且处理""有点饿""的反差趣味","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",高能量表达是否失控堆砌,人工构造（样例清单#3）
S04,候选模型供应商（实测填入）,矛盾情绪,"状态：[""很困"",""很期待"",""不想加班""]；经历：人工构造的日常样例。",中等,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；疲惫与期待并存有张力","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",职场语境的分寸感是否恰当,人工构造（样例清单#4）
S05,候选模型供应商（实测填入）,矛盾情绪,"状态：[""开心"",""有点烦"",""想散步""]；经历：人工构造的日常样例。",简单,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；开心与烦躁的并存被轻松化解","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",情绪转折是否生硬,人工构造（样例清单#5）
S06,候选模型供应商（实测填入）,矛盾情绪,"状态：[""想见朋友"",""不想讲话"",""纠结""]；经历：人工构造的日常样例。",中等,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；社交摇摆被刻画得可共鸣","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",纠结感的表达是否具体,人工构造（样例清单#6）
S07,候选模型供应商（实测填入）,期待焦虑,"状态：[""紧张"",""想出发"",""睡不着""]；经历：人工构造的日常样例。",中等,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；旅行前夜的兴奋与紧张并存","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",焦虑表达是否停留在套路,人工构造（样例清单#7）
S08,候选模型供应商（实测填入）,平静满足,"状态：[""放空"",""想躺平"",""随便""]；经历：人工构造的日常样例。",简单,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；低意图输入仍产出有风格的封面","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",弱输入下的创作主动性,人工构造（样例清单#8）
S09,候选模型供应商（实测填入）,平静满足,"状态：[""专注"",""累"",""轻松""]；经历：人工构造的日常样例。",简单,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；工作收尾的松弛感","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",收尾情绪的收束感,人工构造（样例清单#9）
S10,候选模型供应商（实测填入）,感官氛围,"状态：[""想听雨"",""懒洋洋"",""想喝茶""]；经历：人工构造的日常样例。",简单,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；雨天气氛与风格视觉契合","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",氛围类输入与风格选择是否匹配,人工构造（样例清单#10）
